Date,Open,High,Low,Close,Volume
2023-01-02,2270.291675007998,2283.5496221195704,2252.036936475116,2268.164306640625,321609
2023-01-03,2275.63395350997,2287.5068263108915,2256.439572436833,2278.453857421875,741051
2023-01-04,2278.3549691232656,2284.538757444629,2236.057857005137,2241.3017578125,396492
2023-01-05,2250.898807265997,2257.7751311355933,2221.3156624207595,2242.884521484375,266401
2023-01-06,2245.9518153096515,2249.9094396538094,2203.753742361755,2214.933837890625,328799
2023-01-09,2222.5030762330903,2232.694007857653,2190.6935236756995,2213.05419921875,468796
2023-01-10,2216.269562383783,2250.8987742960294,2208.354313946698,2246.05078125,446088
2023-01-11,2253.81770504175,2253.81770504175,2163.534393295037,2172.5380859375,683084
2023-01-12,2176.4956430539187,2206.1778268171206,2167.838339456318,2195.7890625,563323
2023-01-13,2195.4925081722567,2200.637372453786,2157.004700977874,2175.45703125,339837
2023-01-16,2183.6190933183916,2184.361147835831,2139.4914880596457,2155.5693359375,550050
2023-01-17,2155.5696404322243,2167.9372174699192,2138.2550325794514,2165.265869140625,336838
2023-01-18,2165.2657994372307,2167.591000467161,2141.816922439466,2146.5166015625,378180
2023-01-19,2144.9827926559433,2146.466901727393,2110.205266703314,2114.805908203125,404840
2023-01-20,2117.328838016078,2122.1768307898556,2078.7420040522334,2082.8974609375,393215
2023-01-23,2084.678686451249,2096.2546896978215,2072.9048502923188,2091.357177734375,401917
2023-01-24,2096.5515599231653,2116.290163627642,2095.562153807109,2105.357177734375,540773
2023-01-25,2107.3361207066373,2117.329219720473,2063.4065830500217,2105.802734375,506083
2023-01-27,2116.3396490726414,2129.696631430042,2083.738766370422,2108.5234375,471175
2023-01-30,2126.2339201832383,2170.7571991075033,2060.04274213753,2128.6083984375,642002
2023-01-31,2176.693471479638,2212.3120919220323,2145.131512764875,2159.329345703125,1503351
2023-02-01,2176.693269196369,2224.184758706108,2159.6755337662207,2201.08203125,1054831
2023-02-02,2196.481604279177,2207.365071687768,2163.8807206706547,2179.4638671875,487744
2023-02-03,2190.396596076121,2205.880703540743,2161.852136011,2187.032470703125,352217
2023-02-06,2187.2306724804384,2198.460529231197,2155.3223232150444,2195.640625,541851
2023-02-07,2200.0504871848316,2201.9333164987825,2176.5635101028765,2184.590576171875,372736
2023-02-08,2188.653905483102,2197.0775225066955,2166.306496637048,2177.3564453125,442756
2023-02-09,2185.2845946888547,2219.771680859049,2164.4237061194685,2198.41552734375,683252
2023-02-10,2200.0008073185745,2283.2955569049013,2183.9464338234275,2268.82666015625,1147275
2023-02-13,2275.169551782795,2275.169551782795,2190.1405185554154,2196.48291015625,556723
2023-02-14,2196.086515140917,2216.9474033965594,2186.7710824781234,2206.839111328125,506924
2023-02-15,2206.8391533510503,2239.4930093172115,2200.645317168291,2235.033447265625,434256
2023-02-16,2237.7092900327084,2316.04898385035,2237.7092900327084,2305.29638671875,933259
2023-02-17,2289.241882246913,2308.0711444818444,2284.6337648470553,2298.012451171875,390304
2023-02-20,2299.1519593858807,2316.9406082685086,2279.3316838739333,2291.57080078125,518037
2023-02-21,2296.1789958808245,2333.837520629841,2291.2239268349012,2297.3681640625,511136
2023-02-22,2279.381152084643,2286.367847190818,2224.5284459759296,2253.862548828125,444547
2023-02-23,2264.4665635543442,2264.4665635543442,2212.7852899657028,2222.546630859375,301133
2023-02-24,2233.6958100384986,2239.6914927336197,2195.095865665915,2204.510498046875,324464
2023-02-27,2204.5100249810034,2211.3975219607864,2142.026561408451,2172.202880859375,382292
2023-02-28,2171.0634458823597,2171.311199328198,2134.69328842262,2149.06298828125,569085
2023-03-01,2164.4235638298483,2221.6050070917586,2164.4235638298483,2215.361572265625,618814
2023-03-02,2203.3211257763846,2237.4119052006818,2202.0327593909933,2226.80810546875,340417
2023-03-03,2235.3307613984834,2266.448497067508,2225.420623676282,2251.53369140625,511341
2023-03-06,2259.5114831578157,2286.417411277253,2254.6556122753354,2279.6787109375,467292
2023-03-08,2259.8089527720085,2294.1970853159046,2247.669032990099,2286.665283203125,363490
2023-03-09,2297.5664051183007,2313.521824826837,2269.421708654297,2279.876953125,560192
2023-03-10,2259.3133045471723,2279.3317348727965,2252.6239614122196,2271.94873046875,339874
2023-03-13,2279.331724989979,2288.1022938409137,2252.128444748466,2261.09716796875,510226
2023-03-14,2261.097412333067,2294.147580749227,2240.682429202499,2284.683349609375,960492
2023-03-15,2299.0032870018854,2309.5078873201473,2242.6640599500415,2251.9794921875,449004
2023-03-16,2261.8898923823544,2296.57537679378,2242.6643206587173,2288.89501953125,446515
2023-03-17,2300.341452151555,2304.107353419614,2277.647330266469,2286.814208984375,309283
2023-03-20,2278.340848428781,2297.1701116389363,2269.669477213578,2282.65185546875,236668
2023-03-21,2282.6516481448093,2343.6483517097054,2277.8947336923147,2328.23828125,619952
2023-03-22,2330.91400852714,2366.193953910287,2324.9183267716535,2359.8515625,1042488
2023-03-23,2359.70305030983,2382.5457247877644,2344.391693579101,2362.279541015625,448631
2023-03-24,2367.7797608448027,2376.0548229904743,2349.8423139891856,2360.0498046875,300095
2023-03-27,2358.71213088282,2380.3160389780787,2351.8243911563513,2366.194091796875,388208
2023-03-28,2375.4600380380584,2377.4420656042143,2344.2431038711,2358.91015625,551977
2023-03-29,2353.657730854892,2390.3252407671575,2348.7522610262445,2377.541259765625,313006
2023-03-31,2389.4332533892416,2411.532665568849,2376.10392542998,2390.176513671875,585933
