Date,Open,High,Low,Close,Volume
2023-01-02,22965.239718961235,23185.51164279565,22809.979261135537,23121.189453125,23428
2023-01-03,23136.27409809839,23451.42743231006,23118.53004467846,23395.484375,20755
2023-01-04,23362.95008254881,24240.344872780097,23323.56891785185,23666.177734375,94884
2023-01-05,23786.83719237833,24033.085970618835,23564.790099406422,23893.3515625,44843
2023-01-06,23954.470864166517,24020.17353249211,23217.205098054364,23513.876953125,28542
2023-01-09,23631.478471410275,23706.053162941946,23326.527611223188,23414.55859375,17654
2023-01-10,23501.015434325855,23560.162285251172,22875.044595366253,23224.50390625,31716
2023-01-11,23264.422937490395,23433.927147184088,22919.39971595982,23182.306640625,19213
2023-01-12,23195.41991469731,23658.736844570143,23170.332565976223,23515.650390625,37645
2023-01-13,23656.765583736367,23944.859997514475,23412.29196656966,23796.5,42213
2023-01-16,23777.033401859335,23934.75833321495,23639.516977333657,23718.28125,25269
2023-01-17,23658.73538716326,23850.371528869844,23590.37188477133,23748.984375,18810
2023-01-18,23673.573277471296,23795.365326241248,23478.33864210492,23717.78515625,22616
2023-01-19,23658.737622747492,24131.912375202442,23510.772319602493,24042.69921875,28281
2023-01-20,24003.760799153777,24420.746048354682,23855.893689508066,24073.701171875,44330
2023-01-23,24102.286432569017,24200.42166478592,22618.736638160164,22709.478515625,67600
2023-01-24,22823.04225436981,23015.71233084682,22120.969977892993,22286.92578125,84528
2023-01-25,22327.93274758752,22468.504689660687,21689.196916236444,21831.888671875,47092
2023-01-27,21941.061801446995,22061.6716729941,21105.562682337422,21589.77734375,52018
2023-01-30,21549.167435091487,22406.79669714682,21549.167435091487,22264.203125,54148
2023-01-31,22381.359899582767,23405.980675599098,22381.359899582767,23347.771484375,82554
2023-02-01,23402.630446966064,24319.21012148321,23116.557654997214,23576.8671875,111351
2023-02-02,23510.871909342408,24348.68739025161,23412.293830057955,24174.548828125,72967
2023-02-03,24151.627179789983,24390.97550418638,23924.89761851032,24119.6875,54355
2023-02-06,23973.1494111717,24013.566417557002,23658.735445054488,23777.96484375,30089
2023-02-07,23788.86181883636,24062.908876089656,23683.38327521729,23917.259765625,38892
2023-02-08,24022.340951230697,24254.985189894694,23412.290967245284,23895.2734375,81785
2023-02-09,23619.305738919837,23806.60407324349,22762.169414212374,22869.916015625,72685
2023-02-10,22961.294516508544,23731.682051751708,22428.48010473768,23629.751953125,70017
2023-02-13,23657.749174916426,24200.91429827069,23473.802895707664,23850.37109375,77436
2023-02-14,23802.463030973548,24377.369532097713,23719.607397749693,24284.509765625,75478
2023-02-15,24210.772486609738,24644.515967640204,23944.661773332282,24536.623046875,54111
2023-02-16,24594.347272840238,24861.977698110863,24521.267378116892,24805.291015625,50403
2023-02-17,24639.773532166764,25726.146362783322,24521.5124948731,25437.134765625,132205
2023-02-20,25281.694576011603,26591.157199907644,25222.440604349074,26183.244140625,187893
2023-02-21,26131.048906375974,26712.675183882355,25990.270588628926,26201.017578125,128006
2023-02-22,26200.130938474354,26200.130938474354,25553.275086054426,25888.94921875,93446
2023-02-23,25893.937394932564,26169.66705423919,25269.8456634586,25315.916015625,78884
2023-02-24,25429.82682663157,25553.2725879259,24886.66547693653,25096.8203125,31612
2023-02-27,25034.801435096593,25681.558880424564,24570.645353262455,25326.18359375,38186
2023-02-28,25452.84194817495,25888.061622082154,25302.434837085788,25763.578125,63139
2023-03-01,25587.837123343113,26091.495823956968,25577.911312706783,26002.12109375,29240
2023-03-02,25972.93843674464,26455.908412397384,25833.741765646464,26246.34765625,45919
2023-03-03,26126.062151729988,26283.629100408674,25133.608333986842,25336.8984375,93972
2023-03-06,25429.82679046807,25570.851999506165,24896.541102434952,25253.49609375,64371
2023-03-08,25055.540769468822,25822.781296492627,25054.553203319698,25691.236328125,36651
2023-03-09,25805.102944834078,26121.025735196527,25187.874114351056,25243.029296875,45802
2023-03-10,25084.1810731712,26332.31620903022,24837.289527175417,25856.2109375,67356
2023-03-13,25706.396598986692,25825.841951270242,25184.911530774873,25446.56640625,36270
2023-03-14,25446.566972848177,25478.51628104309,24748.458000764047,24911.109375,50043
2023-03-15,25084.182371240637,25232.95961032474,24881.287659777885,25016.138671875,36837
2023-03-16,25083.192910218022,25329.492296411598,24723.668677956543,25156.22265625,40517
2023-03-17,25156.22239251053,25281.693443421063,24747.42015619877,24848.892578125,41257
2023-03-20,25012.233194619188,25062.59906181117,24443.838798331362,24764.40234375,35356
2023-03-21,24876.78936687287,24876.78936687287,24568.718902085086,24830.275390625,29461
2023-03-22,24913.77711959681,25380.45231690545,24796.009845713892,25177.013671875,52197
2023-03-23,25084.23123750039,25319.3703602745,24908.394306804585,25097.16796875,27917
2023-03-24,25097.16808972759,25271.81878453969,24798.37916761462,25194.443359375,35202
2023-03-27,25133.556331638498,25485.031479623787,25016.6281238797,25265.544921875,37651
2023-03-28,25242.19112884376,25264.262846821017,24815.167134151154,24880.099609375,23209
2023-03-29,24879.653931497545,25690.740797291623,24719.766597063306,25483.845703125,41315
2023-03-31,25513.77255361427,26096.436606512758,25430.174689748164,25861.345703125,42060
2023-04-03,25972.941578645787,26056.9348576537,25508.835602546715,25934.328125,39037
2023-04-05,25879.168970404156,26269.15919881335,25824.852836331564,26205.015625,21471
2023-04-06,26072.783894752072,26242.05118861332,25679.337157559035,25839.37109375,18301
2023-04-10,25800.2624417541,26146.749618255184,25595.3926281605,25677.458984375,28668
2023-04-11,25677.45970730259,26024.342305773403,25676.719032715107,25875.615234375,45833
2023-04-12,25875.61535286345,26154.701152936694,25724.369215639,25792.166015625,25784
2023-04-13,25874.23388794047,25874.23388794047,25454.765153440367,25487.3046875,27530
2023-04-17,25528.583038036984,25775.47455678009,25134.54417412299,25214.685546875,19918
2023-04-18,25281.692871946005,25722.98641039006,24901.578283583767,24949.525390625,31230
2023-04-19,25024.9256794931,25143.43361483403,24368.19420447878,24451.099609375,20893
2023-04-20,24516.280913387698,24589.262441777017,23875.350445712415,23952.826171875,37209
2023-04-21,23996.868089241605,24046.246393059133,23533.74974927302,23590.041015625,21807
2023-04-24,23749.185111218183,23790.466143642672,23257.180476661888,23573.546875,29799
