Date,Open,High,Low,Close,Volume
2023-01-02,1248.6184963547066,1271.4811508042442,1227.7604813229784,1257.7349853515625,1682597
2023-01-03,1255.3006852876354,1289.6663314247874,1255.3006852876354,1275.4427490234375,1068908
2023-01-04,1281.9817034587745,1286.2774090884077,1263.510192557047,1273.008544921875,605578
2023-01-05,1278.9269301827917,1278.9269301827917,1258.1643545295162,1266.3739013671875,421447
2023-01-06,1266.3739013671875,1282.9839851955007,1259.023518896724,1266.3739013671875,495657
2023-01-09,1280.311177147816,1291.575518749035,1267.3286231770978,1286.89794921875,502449
2023-01-10,1286.8502273946322,1311.6220825608675,1281.552143986874,1298.40087890625,966180
2023-01-11,1305.7035859570888,1358.0634391926378,1300.1668523094352,1352.9085693359375,1762623
2023-01-12,1365.079646795783,1365.652384181054,1326.8956007315653,1333.2913818359375,1153415
2023-01-13,1326.8480523963508,1336.155415226183,1308.7584040718125,1314.1995849609375,520001
2023-01-16,1312.5767961756062,1326.895815770249,1301.6943179779817,1305.130859375,250009
2023-01-17,1307.851514621178,1339.3055798093008,1302.123907009734,1334.198486328125,724473
2023-01-18,1338.8283131722233,1341.2148164042592,1323.1251685168172,1325.08203125,397384
2023-01-19,1316.3952557729663,1321.1682625016572,1298.6873541981288,1308.8538818359375,378360
2023-01-20,1305.8945385052934,1312.5289707262218,1278.2111016510146,1284.893310546875,335914
2023-01-23,1291.57550186277,1324.7478955728448,1284.1295654401981,1320.8817138671875,520873
2023-01-24,1307.2785620404552,1307.2785620404552,1256.493824993966,1264.4647216796875,1282825
2023-01-25,1259.7395569700216,1263.8442724087192,1217.4506751816314,1226.4239501953125,536238
2023-01-27,1235.6836049516753,1237.7837977266859,1167.7638157466224,1198.406494140625,433530
2023-01-30,1198.4541057335935,1214.6823271600658,1167.5727782659717,1177.6915283203125,419670
2023-01-31,1182.7986743437143,1196.3539648969283,1160.3655459375084,1177.16650390625,667441
2023-02-01,1191.342489850738,1195.6859726230466,1124.615831897151,1147.8603515625,700831
2023-02-02,1147.860250720019,1183.8010118480997,1136.930112787815,1158.695068359375,447078
2023-02-03,1170.9137961882939,1177.8824314857277,1142.6576242738483,1170.818359375,307741
2023-02-06,1170.9617734934043,1208.0002360894855,1170.8185599846922,1200.936279296875,449222
2023-02-07,1208.5251017244318,1209.1456158011522,1174.1594590213674,1177.54833984375,416429
2023-02-08,1179.8393776682367,1192.774271319546,1172.8230817308754,1188.192138671875,198248
2023-02-09,1183.7053842648845,1193.251395428311,1176.5936525595146,1178.455078125,121016
2023-02-10,1174.1596777153568,1191.1516286058843,1170.4367090900741,1177.21435546875,170808
2023-02-13,1176.0686950445088,1189.433112033651,1163.8497529001916,1166.42724609375,159507
2023-02-14,1167.0000449665251,1188.0012727696037,1158.265420097277,1181.700927734375,186711
2023-02-15,1180.8417470977854,1192.2491854320863,1176.5938181436247,1188.9080810546875,131612
2023-02-16,1189.4333263859658,1204.7069485546458,1183.84893158624,1197.59521484375,245136
2023-02-17,1188.5264690737886,1197.070104628603,1179.4577561599356,1183.9443359375,141916
2023-02-20,1183.9442367384272,1200.8884094472417,1174.1595736248864,1182.0350341796875,236553
2023-02-21,1179.9349717779066,1195.4472427491098,1172.2503847777039,1174.589111328125,149283
2023-02-22,1172.2981816775293,1172.2981816775293,1156.2608331084718,1165.138671875,183558
