Date,Open,High,Low,Close,Volume
2023-01-02,944.0023232028398,955.790286218746,934.7990016312544,952.4326171875,39966
2023-01-03,951.7320766999393,970.090360412933,938.3981771662986,957.9400634765625,41596
2023-01-04,955.959256110858,968.6409644989362,941.1518400458438,959.8241577148438,42810
2023-01-05,964.6311536897439,974.4625448150485,941.1035875894951,963.3509521484375,37020
2023-01-06,963.3268281475073,965.2592791568302,938.0600076111193,943.2776489257812,69178
2023-01-09,948.0120946451552,952.4325287637179,928.0836953529745,931.9727172851562,208652
2023-01-10,935.3062232469612,937.8667442451316,920.5954645544917,924.0738525390625,131930
2023-01-11,924.6294830698814,933.8327453646232,917.7692467910831,929.0740966796875,69860
2023-01-12,933.7361384733865,957.0946274134438,920.5954956722528,946.5628051757812,45026
2023-01-13,944.4853437350639,951.2972211201995,930.9823671417408,945.5240478515625,32642
2023-01-16,945.5240259538018,951.2006001389021,937.2144521879776,945.1375122070312,19612
2023-01-17,941.5383414476643,970.0902898779132,941.5383414476643,963.9306030273438,48358
2023-01-18,961.3943599330227,965.742374626187,950.7658795719541,962.5296630859375,48352
2023-01-19,962.5295472729885,965.6939589528677,948.8333144322158,960.476318359375,40438
2023-01-20,960.2831370600896,960.2831370600896,930.9582183285893,934.8231201171875,65452
2023-01-23,934.7747829295497,955.8867845085933,925.4265639002413,952.5291748046875,96032
2023-01-24,957.5293992462907,961.3943009586874,945.2342042632166,957.4328002929688,51384
2023-01-25,956.2249156074869,978.3031406742044,949.5579372815549,968.0128173828125,97316
2023-01-27,966.515295905135,987.9655124693855,955.1621469843376,981.4193115234375,178464
2023-01-30,981.1777627883649,985.5499565281375,957.795154135988,979.8009033203125,192234
2023-01-31,979.8008363217414,989.752945956513,962.4570789289595,986.950927734375,48388
2023-02-01,984.5355084187834,997.5312534973926,963.2060682046108,976.2742919921875,84812
2023-02-02,966.2254691064973,1007.24169309109,966.2254691064973,985.5741577148438,126524
2023-02-03,985.9605463691419,1001.1302970111042,975.4287248467053,995.0430297851562,80398
2023-02-06,995.0430875818288,999.7534367012995,968.6410240552602,975.9843139648438,40222
2023-02-07,980.8878240485756,985.3083168923824,966.2253659155504,973.302978515625,41792
2023-02-08,974.0035814263248,992.700079812223,967.4332599698386,985.2601318359375,58614
2023-02-09,990.8884221415791,994.729144886157,942.2148129394031,948.6884765625,100024
2023-02-10,953.6645716314348,966.2255031726796,937.4319949728787,960.1624145507812,85004
2023-02-13,960.1623475166771,964.7519183363247,932.3592459882022,945.6206665039062,53170
2023-02-14,937.2627627725301,954.1475270670921,937.0695059090141,951.9493408203125,129576
2023-02-15,956.9496476268826,956.9496476268826,930.2576712900157,947.0458374023438,57204
2023-02-16,958.9786503529389,961.9015055971528,941.87645003301,949.340576171875,46126
2023-02-17,949.0980617573381,958.486893262272,946.6962290831017,951.354248046875,14954
2023-02-20,949.0737683346973,956.3276571358789,941.9896917258321,947.302734375,52138
